
country,year,bank_z_score,capital_adequacy_ratio,credit_private_sector,gdp_growth,inflation,npl_ratio,credit_growth,ecb_refi_rate,interest_rate,credit_growth_log,unemployment
AT,2014,26.82064,16.252921,87.9791389799125,0.755798850316665,2.00674413208939,3.47337431453068,-5.334983751447675,0.05,0.05,-5.482567064113475,5.674
AT,2015,30.07913,16.542541,85.9947836133829,1.30352331826198,2.29263470154871,3.39283728404187,-2.255483958512805,0.05,0.05,-2.2813090573754025,5.802
AT,2016,32.52342,17.976392,83.2593874695782,2.11721964494312,1.81475082333313,2.69521741465076,-3.1808861292128343,0.0,0.0,-3.2325753854853367,6.064
AT,2017,34.54782,18.839771,84.3278786256394,2.27224992038207,0.975317906732371,2.36889544229069,1.283328148974916,0.0,0.0,1.2751632738473797,5.561
AT,2018,35.68405,18.356628,84.5707144749253,2.48422114080024,1.81047996133594,2.90095686469682,0.2879662731276822,0.0,0.0,0.2875524445228983,4.933
AT,2019,36.66615,18.348726,86.0215254846411,1.75497619649288,1.47368502823586,2.41057983492873,1.7155004764042303,0.0,0.0,1.7009519183252664,4.56
AT,2020,31.84211,19.155949,92.7332159422355,-6.31825509209936,2.59313253599376,2.38904558369577,7.802338333087055,0.0,0.0,7.512916365309952,5.201
AT,2021,30.90653,,92.7676649374482,4.79532885699543,1.9261293509801,2.08460790714203,0.0371484962132129,0.0,0.0,0.0371415978677625,6.459
AT,2022,,,89.1915981440889,5.27789448538658,4.75477807605142,1.99024379279404,-3.8548634330405895,2.5,2.5,-3.93112969594922,4.992
BE,2000,7.882141,12.0,,3.71670510672588,2.01459208675317,,,4.75,4.75,,6.6
BE,2001,9.053119,12.9,66.2984721275927,1.09960362419645,1.98281811777269,,-3.6554469779225607,3.25,3.25,,6.2
BE,2002,10.53425,13.2,64.1321925711394,1.70689430349601,1.63999808262712,,-3.267465277758219,2.75,2.75,-3.32203900405883,6.9
BE,2003,9.520517,12.8,62.5301831222026,1.03795518162204,1.85011626988718,,-2.497980163643632,2.0,2.0,-2.529709192854668,7.7
BE,2004,8.127186,13.0,61.841919522188,3.57120671942319,1.91498861024229,,-1.10069020375253,2.0,2.0,-1.1067926188150778,7.4
BE,2005,7.126903,11.5,63.5971249938717,2.32173792911834,2.08307333949642,,2.8382131170006097,2.25,2.25,2.7986820889144504,8.4
BE,2006,8.231667,11.9,65.833003999674,2.55234087322462,2.26471618933262,1.28016415707089,3.515691953083966,3.5,3.5,3.4553028298506483,8.2
BE,2007,9.921206,11.2,68.4432666538424,3.67692462515802,1.93167835957435,1.16267286868485,3.964975765318736,4.0,4.0,3.8883884945709823,7.5
BE,2008,3.75745,16.4,62.7577342668556,0.446905130727231,1.90886937353629,1.66567893097526,-8.306927277071473,2.5,2.5,-8.672335240438223,7.0
BE,2009,7.360682,17.299999,58.4652273901757,-1.90644105515335,0.781821174283053,3.11494720432571,-6.839805367140084,1.0,1.0,-7.084965174206115,7.9
BE,2010,10.51593,19.30475,56.7849458102909,2.71031150254662,1.70310444520605,2.83293355859471,-2.873984511633232,1.0,1.0,-2.9160921876258072,8.3
BE,2011,9.672375,18.536608,55.0140014901831,1.93115502411325,2.29252172328242,3.34867691886338,-3.118686290595807,1.0,1.0,-3.1683526663803363,7.1
BE,2012,12.44705,18.191987,54.489554819636,0.215803612089744,2.20573642403188,3.79788657163647,-0.9532967178195296,0.75,0.75,-0.9578696767647444,7.5
BE,2013,14.23736,18.742578,56.1583492623087,0.305494549070232,1.41248965471736,4.318537467084,3.062595112396349,0.25,0.25,3.016633719263595,8.4
BE,2014,14.36594,17.577284,57.6103761794733,1.76554038149924,0.840395740063599,4.24739060198863,2.585594014493497,0.05,0.05,2.552732767481736,8.5
BE,2015,15.67043,18.688734,60.8023814909828,1.47416433731927,1.12183851916816,3.85093164747182,5.5406777792345485,0.05,0.05,5.392626398164424,8.5
BE,2016,16.37894,18.809742,63.0230419091688,1.19350273007754,1.89528913569444,3.48452664274546,3.6522589473166223,0.0,0.0,3.5871446648653382,7.8
BE,2017,18.16668,18.962596,63.9603957716519,1.47446761556785,1.98316343604859,2.96174954064201,1.4873192947970626,0.0,0.0,1.4763671632779918,7.1
BE,2018,17.78204,18.763474,66.3387246518871,1.87796847383565,1.71728236623039,2.26826570545996,3.718439905728843,0.0,0.0,3.650973316671191,5.9
BE,2019,18.25408,18.750394,67.7573168470454,2.4428900448156,1.85424076568934,2.08706915566812,2.1384073971912665,0.0,0.0,2.1158642758084767,5.4
BE,2020,16.52576,20.337149,74.1512307577193,-4.7929839083518,1.59611667576401,2.06995809018823,9.436492187415643,0.0,0.0,9.017421499138932,5.5
BE,2021,15.4485,,72.964537695298,6.20759981274431,2.74262712757394,2.03126042204704,-1.600368665894003,0.0,0.0,-1.613312854151605,6.2
BE,2022,,,70.560154547414,4.2593607365269,6.84397581715184,1.83865174031702,-3.2952763408503727,2.5,2.5,-3.3507936126760285,5.6
CY,2000,9.54219,,,5.96530445494226,2.74345132203368,,,4.75,4.75,,4.766
CY,2001,7.832068,,144.419255356415,3.95256258200938,3.66029151712353,,,3.25,3.25,,4.043
CY,2002,9.291947,,149.493012840461,3.72297491128981,0.29637825232642,,3.5132139904228143,2.75,2.75,3.452908997308324,3.336
CY,2003,7.933188,,147.195228621501,2.62329962315329,5.38768406624574,,-1.537051247613963,2.0,2.0,-1.548986337212099,4.153
CY,2004,6.805026,,147.338509151311,5.02627226665527,2.70929887023898,,0.0973404716659853,2.0,2.0,0.0972931265502907,4.77
CY,2005,5.759692,,156.534337063724,4.85298762175586,2.01952513689005,,6.241292901212425,2.25,2.25,6.054266929335928,5.481
CY,2006,5.728607,,162.806321227766,4.71378358593959,3.08610638913302,,4.006778500929631,3.5,3.5,3.928588892284868,4.593
CY,2007,10.40343,,180.560809230387,5.09822614854798,4.13805436494805,,10.905281729069038,4.0,4.0,10.35063332852646,3.946
CY,2008,10.2144,11.0,212.093506733987,3.64698922103939,4.73462416894996,3.59414947955595,17.46375508506155,2.5,2.5,16.095963264910118,3.756
CY,2009,8.482056,12.1,226.238177594747,-2.01508203683694,0.26289894875174,4.50936302926019,6.6690730322548575,1.0,1.0,6.456108056049459,5.594
CY,2010,8.160662,12.410173,234.128270166471,2.28267100119788,1.88138203943318,5.82172259923197,3.48751596905863,1.0,1.0,3.428080078587925,6.359
CY,2011,1.576496,12.11882,242.425310610419,0.416711868408683,1.61624990522182,9.98623419964975,3.5438011983980333,1.0,1.0,3.4824537177997605,7.942
CY,2012,8.428222,7.3426343,249.095015986358,-3.44738151374587,1.67877931009221,18.3749456234796,2.751241344868194,0.75,0.75,2.7140748530537278,12.097
CY,2013,9.23225,14.031282,254.551658820734,-6.58747751118347,-0.937738949964341,38.5570399026523,2.190586918316684,0.25,0.25,2.166938302218213,16.131
CY,2014,8.272057,15.358047,251.710266759916,-1.77605867728616,-1.33826573105922,44.972072758843,-1.116233959731927,0.05,0.05,-1.122510602718041,16.277
CY,2015,8.268928,16.467347,243.304880425395,3.41892038889013,-0.754231430452322,47.7478457712877,-3.3393100896190964,0.05,0.05,-3.3963382100442807,15.026
CY,2016,9.832859,16.792789,216.137570701221,6.57359080924678,-0.574742494242457,36.6991177413136,-11.16595346409599,0.0,0.0,-11.840020253576888,13.006
CY,2017,7.110081,16.294677,191.690393503647,5.75083236554525,1.02039376290533,31.3888946804868,-11.31093364205925,0.0,0.0,-12.003356968253076,11.155
CY,2018,7.88143,17.324686,135.240645396808,6.27166360056404,1.02575360460912,19.520510219693,-29.448397008880377,0.0,0.0,-34.88257865991358,8.504
