
country,year,bank_z_score,bank_z_score_avail,npl_ratio,npl_ratio_filled,imputed_npl,capital_adequacy_ratio,capital_adequacy_ratio_filled,imputed_tier1,credit_to_gdp_ratio,credit_to_gdp_gap,credit_growth,credit_growth_log,gdp_growth,inflation,unemployment,policy_rate,financial_crisis_dummy,debt_crisis_dummy,covid_dummy
GR,2014,5.429644,1,29.9945374662288,29.9945374662288,0,14.069831,14.069831,0,117.666173347206,8.066634138388565,-1.5877053547437847,-1.6004444153060682,0.792225060962835,-1.92347455777482,26.708,0.05,0,0,0
GR,2015,5.945258,1,35.7068688820245,35.7068688820245,0,16.518907,16.518907,0,113.197845669481,6.099510659994465,-3.797461539383951,-3.871444134007884,-0.228301892172851,-0.174753732642159,24.981,0.05,0,0,0
GR,2016,7.967101,1,37.3561319650912,37.3561319650912,0,16.946623,16.946623,0,108.391497452381,5.217581651195729,-4.24597145703085,-4.338748525658964,-0.0317947678412054,-0.489961144384012,23.514,0.0,0,0,0
GR,2017,9.335051,1,45.9667979665881,45.9667979665881,0,17.02401,17.02401,0,100.41862073476,2.416499172064391,-7.3556292744490275,-7.640199359637734,1.47312472702352,0.2036135315862,21.413,0.0,0,0,0
GR,2018,7.744936,1,43.3731858901074,43.3731858901074,0,15.988917,15.988917,0,90.982699750015,-0.8282683392964714,-9.396584931860897,-9.867827974073506,2.06467207892409,-0.234800451317412,19.179,0.0,0,0,0
GR,2019,7.77626,1,38.0724169271524,38.0724169271524,0,17.021147,17.021147,0,79.9951550161284,-4.857481151919075,-12.076520881525932,-12.870330526443752,2.27718065334808,0.245015781395267,17.045,0.0,0,0,0
GR,2020,7.356091,1,30.8146791725642,30.8146791725642,0,16.664326,16.664326,0,81.0280473649208,3.6570234623955145,1.2911936336446272,1.282928795991367,-9.19623149726978,-0.363959702932064,15.899,0.0,0,0,1
GR,2021,6.641998,1,11.881332954805,11.881332954805,0,,16.664326,1,55.9784544551461,-13.58300012970124,-30.914718698527267,-36.98284836708163,8.65449786002131,1.39275644673982,14.656,0.0,0,0,0
GR,2022,,0,8.17432019475188,8.17432019475188,0,,16.664326,1,52.049469198804,-9.606352542936044,-7.018745505898671,-7.277227773126071,5.74364902526337,6.49582431023742,12.426,2.5,0,0,0
HR,2000,6.617574,1,,5.34245735688259,1,21.299999,21.299999,0,,-0.2607859408533528,,,2.94525299539681,4.35088461209688,16.064,4.75,0,0,0
