
country,year,short_nominal_cs,inflation,real_rate_cs
CY,2000,5.05,2.74345132203368,2.30654867796632
CY,2001,3.55,3.66029151712353,-0.11029151712353036
CY,2002,3.05,0.29637825232642,2.75362174767358
CY,2003,2.3,5.38768406624574,-3.08768406624574
CY,2004,2.3,2.70929887023898,-0.40929887023898015
CY,2005,2.55,2.01952513689005,0.5304748631099496
CY,2006,3.8,3.08610638913302,0.7138936108669798
CY,2007,4.3,4.13805436494805,0.16194563505194992
CY,2008,2.8,4.73462416894996,-1.9346241689499601
CY,2009,1.3,0.26289894875174,1.0371010512482601
CY,2010,1.3,1.88138203943318,-0.5813820394331799
CY,2011,1.3,1.61624990522182,-0.31624990522181995
CY,2012,1.05,1.67877931009221,-0.6287793100922099
CY,2013,0.55,-0.937738949964341,1.4877389499643412
CY,2014,0.3500000007450581,-1.33826573105922,1.6882657318042782
CY,2015,0.3500000007450581,-0.754231430452322,1.10423143119738
CY,2016,0.3,-0.574742494242457,0.8747424942424571
CY,2017,0.3,1.02039376290533,-0.7203937629053299
CY,2018,0.3,1.02575360460912,-0.72575360460912
CY,2019,0.3,1.35008643696904,-1.05008643696904
CY,2020,0.3,-1.20792435222243,1.5079243522224302
CY,2021,0.3,3.04273022296344,-2.74273022296344
CY,2022,2.8,6.70926670266638,-3.90926670266638
DE,2000,4.9,-0.343812764756009,5.24381276475601
DE,2001,3.4,1.43298952298214,1.9670104770178598
DE,2002,2.9,1.49930878208148,1.4006912179185198
DE,2003,2.15,1.32178167271502,0.8282183272849799
DE,2004,2.15,1.15505927844879,0.9949407215512098
DE,2005,2.4,0.534316505132452,1.865683494867548
DE,2006,3.65,0.446999825398549,3.203000174601451
DE,2007,4.15,1.83955503427451,2.31044496572549
DE,2008,2.65,0.947839882344795,1.7021601176552048
DE,2009,1.15,1.994704074292,-0.844704074292
DE,2010,1.15,0.682498550164752,0.4675014498352479
DE,2011,1.15,1.23193490090844,-0.08193490090844002
DE,2012,0.9,1.43207639952682,-0.53207639952682
DE,2013,0.4,1.99503160336462,-1.5950316033646201
DE,2014,0.20000000074505808,1.90082490446211,-1.7008249037170518
DE,2015,0.20000000074505808,1.68539776821872,-1.4853977674736618
DE,2016,0.15,1.25625863629057,-1.1062586362905702
DE,2017,0.15,1.46798916726962,-1.31798916726962
DE,2018,0.15,1.86533423151265,-1.71533423151265
DE,2019,0.15,2.01597612276328,-1.8659761227632803
DE,2020,0.15,1.75504599873261,-1.60504599873261
DE,2021,0.15,2.80292936590148,-2.65292936590148
DE,2022,2.65,6.09185663198414,-3.4418566319841397
