country,year,real_rate_cs
LT,2020,-2.03874418596244
LT,2021,-5.99976656722365
LT,2022,-13.5665428207157
LU,2000,0.1415264999900101
LU,2001,2.459926184337476
LU,2002,1.2855897884864
LU,2003,-0.1859765505310098
LU,2004,-1.1173285931249
LU,2005,-2.56732696675937
LU,2006,-2.9546748612743103
LU,2007,2.10751910534204
LU,2008,-4.10996479623324
LU,2009,0.129312029093413
LU,2010,-3.64841750360225
LU,2011,-2.44946182436412
LU,2012,-2.51597721899194
LU,2013,-2.02602508879494
LU,2014,-2.74670142376848
LU,2015,-2.16918090837401
LU,2016,1.10761662343417
LU,2017,-2.14290452657747
LU,2018,-1.83958806564863
LU,2019,-0.916370421543562
LU,2020,-3.86906326889533
LU,2021,-5.90212972470607
LU,2022,-3.71752167262224
LV,2000,0.9750837246778898
LV,2001,0.6268030945960401
LV,2002,-0.5090042864353999
LV,2003,-1.64549702476506
LV,2004,-4.92499119111602
LV,2005,-8.1953384763468
LV,2006,-6.726385069683699
LV,2007,-15.5504855610846
LV,2008,-9.8743988896519
LV,2009,6.7316239303985
LV,2010,1.483861317727076
LV,2011,-3.7081070974448895
LV,2012,-2.12856729481426
LV,2013,-1.65052969117932
LV,2014,-1.61994918996278
LV,2015,-0.33688741781985
LV,2016,-0.607930583315365
LV,2017,-2.70923995206107
LV,2018,-3.74027873968454
LV,2019,-4.31638188410186
LV,2020,-2.39332693904262
LV,2021,-3.29734326527044
LV,2022,-7.33538053436664
MT,2000,14.64868766410321
MT,2001,-1.1203577622894
MT,2002,0.1172434089833998
MT,2003,-0.0350904901848099
MT,2004,-0.5133639085819199
MT,2005,0.28543344626232
MT,2006,1.22769040104544
MT,2007,1.7597057268519798
MT,2008,-0.8732831962193899
MT,2009,-1.2464235361428
MT,2010,-1.76562917696803
MT,2011,-0.48287268081009
MT,2012,-1.40973974277171
MT,2013,-2.00574521031584
MT,2014,-2.22101333965535
MT,2015,-4.15024275785261
MT,2016,-2.12564879127972
MT,2017,-2.13502563545586
MT,2018,-1.79841671689434
MT,2019,-2.50640359192941
MT,2020,-1.86421393908336
MT,2021,-2.4475861350641
MT,2022,-2.5717474963963403
NL,2000,1.47986628775394
NL,2001,-1.1249918433342296
NL,2002,-1.12769356261167
NL,2003,-0.2860866288158399
NL,2004,0.80255027484132
NL,2005,0.27040986816945
NL,2006,0.92337885200143
NL,2007,1.95057247021204
NL,2008,0.08773385331365
NL,2009,0.5623394722722139
NL,2010,0.289727192951418
NL,2011,0.757344161809854
NL,2012,-0.57912962087366
NL,2013,-0.8949274411920001
NL,2014,-0.294078059275915
NL,2015,-0.838432954114009
NL,2016,-0.565543760069971
NL,2017,-1.43932706656167
NL,2018,-2.53340289331616
NL,2019,-3.02788370008784
NL,2020,-2.35573022306261
NL,2021,-2.74734329748038
NL,2022,-3.65557496508328
PT,2000,1.32973033303307
PT,2001,-0.4659829933747201
PT,2002,-1.4397809088295297
PT,2003,-1.42715357062571
PT,2004,-0.3996148286703098
PT,2005,-1.0829038947892
PT,2006,0.3154585033861101
PT,2007,1.03365422563768
PT,2008,0.7622751214794199
PT,2009,-0.0981346533515099
PT,2010,0.217864146944464
PT,2011,1.260435396491971
PT,2012,1.126402197541935
PT,2013,-2.02438669661049
PT,2014,-0.6744567709907839
PT,2015,-1.9124469996234
PT,2016,-1.85408704173796
PT,2017,-1.53220042451687
PT,2018,-1.85237243801184
PT,2019,-1.83436778363703
PT,2020,-2.10314336719686
PT,2021,-2.01977614131548
PT,2022,-2.82749909841736
SI,2000,-0.7860617536979797
SI,2001,-5.450008102321661
SI,2002,-4.86980959695788
SI,2003,-3.66345775944367
SI,2004,-1.35817227706201
SI,2005,0.7470030074392
SI,2006,1.2763975159687702
SI,2007,-0.2002517371673802
SI,2008,-2.0050148735517404
SI,2009,-1.73283928388418
SI,2010,1.491469444600767
SI,2011,-0.3645204070481
SI,2012,0.123381409177526
SI,2013,-0.8827971878507299
SI,2014,-0.581551450779483
SI,2015,-0.817198319325425
SI,2016,-0.885482436856336
SI,2017,-1.28763102357318
SI,2018,-2.18095370305853
SI,2019,-2.33858654999968
SI,2020,-1.18953318282115
SI,2021,-2.689963166735
SI,2022,-4.01714978292448
SK,2000,-4.931180821251891
SK,2001,-2.1252294642005403
SK,2002,-1.2962365917944396
SK,2003,-3.44607964570642
SK,2004,-3.90529858973181
SK,2005,-0.3965669119041899
SK,2006,0.60446051181543
SK,2007,2.82227247612609
SK,2008,-0.4853625083059301
SK,2009,2.12257244186777
SK,2010,0.529471446730298
SK,2011,-0.61977051205542
SK,2012,-0.58888239127128
SK,2013,-0.284061870297393
SK,2014,0.1826025188437819
SK,2015,0.2356928276854289
SK,2016,0.390909342389534
SK,2017,-1.18187258373648
SK,2018,-2.10864838172743
SK,2019,-2.40120783642419
SK,2020,-2.40777956608554
SK,2021,-2.24388381566803
SK,2022,-4.98889900247143
